Code, Rate
DZD, 78.354891
NAD, 10.293766
QAR, 3.64
EGP, 4.614276
BGN, 1.974488
PAB, 1
PHP, 52.61342
BOB, 7.304714
DKK, 7.543325
BWP, 6.135905
LBP, 1508.97463
TZS, 964.591992
VND, 15239.898632
KHR, 3791.860112
MYR, 3.799729
LYD, 1.235672
UAH, 5.293786
JOD, 0.709
AWG, 1.79
SAR, 3.749765
LTL, 3.500355
HKD, 7.799833
CHF, 1.487402
GIP, 0.635042
BYR, 1830.055753
XPF, 120.964724
MRO, 266.006082
HRK, 7.504977
DJF, 177.721
THB, 43.504126
XAF, 667.377967
BND, 1.782073
ETB, 8.295905
NIO, 14.310694
LAK, 7512.650786
SYP, 51.060416
MAD, 10.629904
YER, 175.225545
ZAR, 10.42128
NPR, 76.259402
NGN, 125.677648
ZWD, 55.018614
CRC, 366.863659
AED, 3.67246
EEK, 15.923704
MWK, 78.762392
TTD, 6.2505
LKR, 96.031336
SKK, 42.588228
PKR, 59.195481
HUF, 246.517931
BMD, 1
LSL, 10.354587
MNT, 1104.166244
AMD, 556.367968
UGX, 1799.57628
XDR, 0.751295
JMD, 48.959959
GEL, 2.166447
SHP, 0.638004
MMK, 6.392316
KPW, 2.185636
TRY, 1.630071
BDT, 57.232641
CNY, 8.274297
HTG, 28.675114
SLL, 2036.472377
ANG, 1.79
RWF, 470.241257
NOK, 7.412545
MOP, 8.033687
INR, 48.289516
MXN, 10.177386
CZK, 30.753382
TJS, 2.90075
BTN, 48.021186
KMF, 498.700456
MUR, 29.397669
IDR, 9016.888471
HNL, 16.581348
FJD, 2.108262
ISK, 86.487582
PEN, 3.610744
BZD, 2
ILS, 4.834927
DOP, 18.740929
MDL, 13.424328
BSD, 1
SEK, 9.24101
ZMK, 4420.628485
MVR, 11.77
AUD, 1.829
IEP, 0.798111
BBD, 2
KRW, 1230.509614
GMD, 19.574455
VEF, 1.484846
GTQ, 7.694678
SIT, 231.966405
CLP, 742.720757
EUR, 1.018697
ALL, 136.027369
XCD, 2.682544
KZT, 152.714648
RUB, 31.589711
CDF, 356.873796
RON, 3.288277
OMR, 0.384497
BRL, 3.644844
SBD, 7.01039
PLN, 4.149518
PYG, 6258.884947
KES, 78.75893
MKD, 62.204156
GBP, 0.637862
TWD, 34.943433
TOP, 1.818936
COP, 2844.080912
VUV, 146.214683
GNF, 1958.215915
WST, 3.538659
IQD, 3088.83
CVE, 111.770907
SCR, 5.581257
CAD, 1.591652
CYP, 0.579317
KWD, 0.301062
BIF, 1019.462747
PGK, 3.88447
SOS, 2589.700963
SGD, 1.781484
UZS, 1783.15256
STD, 8960.841358
IRR, 1729.954384
SVC, 8.692752
XOF, 664.933604
TND, 1.369508
GYD, 176.940699
MTL, 0.418677
NZD, 2.092297
FKP, 0.638004
LVL, 0.602838
USD, 1
KGS, 45.685859
ARS, 3.752757
SZL, 10.355094
BHD, 0.3765
JPY, 122.986847
